slug,variant_id,sku,processor,memory,display,storage,color,short_description.en_US,long_description.en_US,short_description.de_DE,long_description.de_DE,license,
151_acer_731-4699,1,21416382,"Intel Pentium 2,4 GHz",4 GB,17.3'',500 GB,Grey,"Acer Aspire 731-4699, 2020M, DVD Super Multi DL, Touchpad, Windows 7 Home Premium, Lithium-Ion (Li-Ion), 64-bit","Acer Aspire 731-4699. Product type: Notebook, Colour of product: Grey, Form factor: Clamshell. Processor frequency: 2.4 GHz, Processor family: Intel Pentium, Processor model: 2020M. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 8 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Display diagonal: 43.9 cm (17.3""), Display resolution: 1600 x 900 pixels, Panel type: TN","Acer Aspire 731-4699, 2020M, DVD Super Multi DL, Touchpad, Windows 7 Home Premium, Lithium-Ion (Li-Ion), 64-bit","Acer Aspire 731-4699. Produkttyp: Notebook, Produktfarbe: Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,4 GHz, Prozessorfamilie: Intel Pentium, Prozessor: 2020M. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 8 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 43,9 cm (17.3""), Bildschirmauflösung: 1600 x 900 Pixel, Panel-Typ: TN","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_acer_c720p-2625,1,20849175,"Intel Celeron 1,4 GHz",4 GB,11.6'',500 GB,Grey,"Acer Chromebook C720P-2625, 2955U, Touchpad, Chrome OS, Lithium-Ion (Li-Ion), Intel Celeron, HD","Acer Chromebook C720P-2625. Product type: Chromebook, Colour of product: Grey, Form factor: Clamshell. Processor frequency: 1.4 GHz, Processor family: Intel Celeron, Processor model: 2955U. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM. Total storage capacity: 16 GB, Storage media: SSD, Solid-state drive capacity: 16 GB. Display diagonal: 29.5 cm (11.6""), Display resolution: 1366 x 768 pixels, Aspect ratio: 16:9","Acer Chromebook C720P-2625, 2955U, Touchpad, Chrome OS, Lithium-Ion (Li-Ion), Intel Celeron, HD","Acer Chromebook C720P-2625. Produkttyp: Chromebook, Produktfarbe: Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 1,4 GHz, Prozessorfamilie: Intel Celeron, Prozessor: 2955U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM. Gesamtspeicherkapazität: 16 GB, Speichermedien: SSD, SSD Speicherkapazität: 16 GB. Bildschirmdiagonale: 29,5 cm (11.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_acer_e5-573t-5935,1,29545166,Intel Core i5-5xxx 2.2 GHz,8 GB,15.6'',1000 GB,Black,"Acer Aspire E5-573T-5935, i5-5200U, DVD Super Multi, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion), 64-bit","Acer Aspire E5-573T-5935. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 2.2 GHz, Processor family: Intel Core i5-5xxx, Processor model: i5-5200U. Internal memory: 8 GB, Internal memory type: DDR3L-SDRAM, Memory slots: 2x SO-DIMM. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Display diagonal: 39.6 cm (15.6""), Display resolution: 1366 x 768 pixels, Aspect ratio: 16:9","Acer Aspire E5-573T-5935, i5-5200U, DVD Super Multi, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion), 64-bit","Acer Aspire E5-573T-5935. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: Intel Core i5-5xxx, Prozessor: i5-5200U. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3L-SDRAM, Speichersteckplätze: 2x SO-DIMM. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_acer_p246-m-52x2,1,24401697,"Intel Core i5-4xxx 1,7 GHz",5 GB,14'',500 GB,Black,"Acer TravelMate P246-M-52X2, i5-4210U, DVD-RW, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit","Acer TravelMate P246-M-52X2. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 1.7 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4210U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Display diagonal: 35.6 cm (14""), Display resolution: 1366 x 768 pixels","Acer TravelMate P246-M-52X2, i5-4210U, DVD-RW, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit","Acer TravelMate P246-M-52X2. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 1,7 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4210U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 35,6 cm (14""), Bildschirmauflösung: 1366 x 768 Pixel","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_asus_t200ta-cp021p,1,25905066,"Intel Atom 1,59 GHz",4 GB,11.6'',500 GB,Blue,"ASUS Transformer Book T200TA-CP021P, Z3795, Touchpad, Windows 8.1 Pro, 64-bit, Intel Atom, 50/60 H","ASUS Transformer Book T200TA-CP021P. Product type: Hybrid (2-in-1), Colour of product: Blue, Form factor: Convertible (Detachable). Processor frequency: 1.59 GHz, Processor family: Intel Atom, Processor model: Z3795. Internal memory: 4 GB, Internal memory type: LPDDR3-SDRAM, Maximum internal memory: 4 GB. Total storage capacity: 64 GB, Storage media: SSD, Solid-state drive capacity: 64 GB. Display diagonal: 29.5 cm (11.6""),","ASUS Transformer Book T200TA-CP021P, Z3795, Touchpad, Windows 8.1 Pro, 64-bit, Intel Atom, 50/60 Hz","ASUS Transformer Book T200TA-CP021P. Produkttyp: Hybrid (2-in-1), Produktfarbe: Blau, Formfaktor: Convertible (Detachable). Prozessor-Taktfrequenz: 1,59 GHz, Prozessorfamilie: Intel Atom, Prozessor: Z3795. RAM-Speicher: 4 GB, Interner Speichertyp: LPDDR3-SDRAM, RAM-Speicher maximal: 4 GB. Gesamtspeicherkapazität: 64 GB, Speichermedien: SSD, SSD Speicherkapazität: 64 GB. Bildschirmdiagonale: 29,5 cm (11.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_asus_t300chi-fl040p,1,27123315,,,,,,,,,,"The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_asus_ux305fa-asm1,1,26231597,"Intel Core M 0,8 GHz",4 GB,12.5'',128 GB,Black,"ASUS Transformer Book T300CHI-FL040P, M-5Y10, Touchpad, Windows 8.1 Pro, Intel Core M","ASUS Transformer Book T300CHI-FL040P. Product type: Hybrid (2-in-1), Colour of product: Black, Form factor: Convertible (Detachable). Processor frequency: 0.8 GHz, Processor family: Intel Core M, Processor model: M-5Y10. Internal memory: 4 GB, Internal memory type: LPDDR3-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 128 GB, Storage media: SSD, Solid-state drive capacity: 128 GB. Display diagonal: 31.8 cm (12.5"")","ASUS Transformer Book T300CHI-FL040P, M-5Y10, Touchpad, Windows 8.1 Pro, Intel Core M","ASUS Transformer Book T300CHI-FL040P. Produkttyp: Hybrid (2-in-1), Produktfarbe: Schwarz, Formfaktor: Convertible (Detachable). Prozessor-Taktfrequenz: 0,8 GHz, Prozessorfamilie: Intel Core M, Prozessor: M-5Y10. RAM-Speicher: 4 GB, Interner Speichertyp: LPDDR3-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 128 GB, Speichermedien: SSD, SSD Speicherkapazität: 128 GB. Bildschirmdiagonale: 31,8 cm (12.5"")","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_dell_13,1,29885472,Intel Core i3-5xxx 2 GHz,4 GB,13.3'',500 GB,Grey,"DELL Chromebook 13, i3-5005U, Touchpad, Chrome OS, Intel Core i3-5xxx, HD, 50/60 Hz","DELL Chromebook 13. Product type: Chromebook, Colour of product: Grey, Form factor: Clamshell. Processor frequency: 2 GHz, Processor family: Intel Core i3-5xxx, Processor model: i3-5005U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 16 GB, Storage media: SSD, Solid-state drive capacity: 16 GB. Display diagonal: 33.8 cm (13.3""), Display resolution: 1920 x 1080 pixels","DELL Chromebook 13, i3-5005U, Touchpad, Chrome OS, Intel Core i3-5xxx, HD, 50/60 Hz","DELL Chromebook 13. Produkttyp: Chromebook, Produktfarbe: Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2 GHz, Prozessorfamilie: Intel Core i3-5xxx, Prozessor: i3-5005U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 16 GB, Speichermedien: SSD, SSD Speicherkapazität: 16 GB. Bildschirmdiagonale: 33,8 cm (13.3""), Bildschirmauflösung: 1920 x 1080 Pixel, HD-Typ: Full HD","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_dell_3450,1,25558467,"Intel Core i5-5xxx 2,2 GHz",4 GB,14'',500 GB,Black,"DELL Latitude 3450, i5-5200U, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit, Multilingual","DELL Latitude 3450. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 2.2 GHz, Processor family: Intel Core i5-5xxx, Processor model: i5-5200U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Display diagonal: 35.6 cm (14""), Display resolution: 1366 x 768 pixels, Display surface: Matt","DELL Latitude 3450, i5-5200U, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit, Mehrsprachig","DELL Latitude 3450. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: Intel Core i5-5xxx, Prozessor: i5-5200U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 35,6 cm (14""), Bildschirmauflösung: 1366 x 768 Pixel, Display-Oberfläche: Matt","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
151_dell_7359,1,29900747,"Intel Core i3-6xxx 2,3 GHz",4 GB,13.3'',1000 GB,Silver,"DELL Inspiron 7359, i3-6100U, 0 - 35 °C, -40 - 65 °C, 10 - 90%, 0 - 95%, -15.2 - 3048 m","DELL Inspiron 7359. Product type: Hybrid (2-in-1), Colour of product: Black, Silver, Form factor: Convertible (Folder). Processor frequency: 2.3 GHz, Processor family: Intel Core i3-6xxx, Processor model: i3-6100U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Display diagonal: 33.8 cm (13.3""), Display resolution: 1366 x 768 pixels","DELL Inspiron 7359, i3-6100U, 0 - 35 °C, -40 - 65 °C, 10 - 90%, 0 - 95%, -15,2 - 3048 m","DELL Inspiron 7359. Produkttyp: Hybrid (2-in-1), Produktfarbe: Schwarz, Silber, Formfaktor: Konvertierbar (Ordner). Prozessor-Taktfrequenz: 2,3 GHz, Prozessorfamilie: Intel Core i3-6xxx, Prozessor: i3-6100U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Bildschirmdiagonale: 33,8 cm (13.3""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9","The CSV icecat_notebooks.csv is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see https://www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view https://www.icecat.biz."
