Attributeset,Status,Variety,BundleType,Sku,saleable,Name,Short Description,Description,Final Gross Price,Tax Rate,Brand,Manufacturer description,Page Title,Meta Keywords,Meta Description,url,Stock,Color,Depth,Width,Height,Material,Quantity,Category,RefConfigSku,RefBundleSkus,RefOption
Products without Electronics,approved,Config,,01V01DA,0,DAW,"The Eames Plastic Armchairs for Vitra were first presented as part of a New York Museum of Modern Art competition, ""Low Cost Furniture Design"". Their organically shaped plastic seat shells were later combined with various different bases and manufactured in their millions.In their latest version made of polypropylene, the armchairs now offer even greater sitting comfort. DAW stands for 'Dining Height Armchair Wooden Base'.The DAW is available in six colours: basic dark, grey, light blue, lime yellow, red and white.","The Eames Plastic Armchairs for Vitra were first presented as part of a New York Museum of Modern Art competition, ""Low Cost Furniture Design"". Their organically shaped plastic seat shells were later combined with various different bases and manufactured in their millions.In their latest version made of polypropylene, the armchairs now offer even greater sitting comfort. DAW stands for 'Dining Height Armchair Wooden Base'.The DAW is available in six colours: basic dark, grey, light blue, lime yellow, red and white.",,19.00,Vitra,"This interdisciplinary approach enables a whole lot more to be part of the Vitra cosmos than only the furniture production: Vitra also stands for a design museum, for a collection of modern furniture and their archives, for workshop and publications about design and for an architecture understanding, which includes constructions by Frank Gehry, Nicholas Grimshaw, Zaha Hadid, Tadao Ando, Alvaro Siza, Herzog & de Meuron and SANAA in the main headquarter in Birsfelden (Switzerland) and on the Vitra Campus in Weil am Rhein (Germany). Accessories, sculptures and objects for children are also produced by Vitra today.All of these different areas enabled Vitra’s success in the past decades. The success history of the family company however was only possible by the consequent connection of good design and high quality. It doesn’t matter out of which material a Vitra-product is made, one thing is sure: the material and production quality are among the best ones on the market. Sustainability is also a part of it: Vitra finds it self-understanding that production, usage and disposal of a piece of furniture don’t harm since the company’s foundation in 1950. The longevity of the products is the most important premise, which has been embossed by Charles & Ray Eames in that time: Material as well as design are made to last for decades according to the Vitra company.",," Eamse, chair, Design, Shop, Velle, online shop, Vitra, Daw",,,,,,,,plastic,1,Default Category|Chairs,,,B1
"Products without Electronics",approved,Simple,,01V01DA-01,1,"DAW White",,,421.00,,,,"DSW white by Vitra & Eames | Chairs at Velle",,"DAW white plastic armchair by VITRA & Eames. This and more design chairs in the design furniture online shop | Velle",/daw-white-vitra,19,white,600,625,805,,,,01V01DA,,B1
"Products without Electronics",approved,Simple,,01V01DA-02,1,"DAW Black",,,401.00,,,,"DSW black by Vitra & Eames | Chairs at Velle",,"DAW black plastic armchair by VITRA & Eames. This and more design chairs in the design furniture online shop | Velle",/daw-black-vitra,10,black,600,625,805,,,,01V01DA,,B1
"Products without Electronics",approved,Simple,,01V01DA-03,1,"DAW Grey",,,411.00,,,,"DSW grey by Vitra & Eames | Chairs at Velle",,"DAW grey plastic armchair by VITRA & Eames. This and more design chairs in the design furniture online shop | Velle",/daw-grey-vitra,0,grey,600,625,805,,,,01V01DA,,B1
"Products without Electronics",approved,Simple,,01V01DA-04,1,"DAW Red",,,399.00,,,,"DSW red by Vitra & Eames | Chairs at Velle",,"DAW red plastic armchair by VITRA & Eames. This and more design chairs in the design furniture online shop | Velle",/daw-red-vitra,3,red,600,625,805,,,,01V01DA,,B1
"Products without Electronics",approved,Simple,,01V01DA-05,1,"DAW Green",,,480.00,,,,"DSW green by Vitra & Eames | Chairs at Velle",,"DAW green plastic armchair by VITRA & Eames. This and more design chairs in the design furniture online shop | Velle",/daw-green-vitra,9,green,600,625,805,,,,01V01DA,,B1
"Products without Electronics",approved,Simple,,01V01DA-06,1,"DAW Yellow",,,477.00,,,,"DSW yellow by Vitra & Eames | Chairs at Velle",,"DAW yellow plastic armchair by VITRA & Eames. This and more design chairs in the design furniture online shop | Velle",/daw-yellow-vitra,0,yellow,600,625,805,,,,01V01DA,,B1
Products without Electronics,approved,Config,,01K01MA,0,Master Chair,"With the Masters Chair for Kartell the star designer Philippe Starck honours three icons of modern design and melts the most different styles to one “stylish all-embracing whole”.Masters connects the forms of three classics: the Series 7 from Arne Jacobsen, the Tulip armchair from Eero Saarinen and the Eiffel chair from Charles Eames were reinterpreted in room and time and they come together in a fascinating and appealing mixture of styles for Masters: This is so appealing that the Kartell Masters Chair was honoured with the Good Design Award
","With the Masters Chair for Kartell the star designer Philippe Starck honours three icons of modern design and melts the most different styles to one “stylish all-embracing whole”.Masters connects the forms of three classics: the Series 7 from Arne Jacobsen, the Tulip armchair from Eero Saarinen and the Eiffel chair from Charles Eames were reinterpreted in room and time and they come together in a fascinating and appealing mixture of styles for Masters: This is so appealing that the Kartell Masters Chair was honoured with the Good Design Award 
",,19.00,Kartell,"In 1949 did Giulio Castelli found Kartell in Milan. Besides Alessi, Brinovega, Danese or Flos it belongs to the traditional, Italian design businesses. But Kartellis reckoned as a pioneer business of the plastic-furniture-production.While many manufacturers thought plastic is a cheap material, Kartell stacked to this material and made plastic as equal as all the other materials.Kartell is known since the beginning of the 1950ies with its production of houseware. Chasing power was the house designer Gino Colombini, who still serves comfortless and plain kitchen mashines like lemon juicer, garbage bins, or storing boxes in new, delicious colours and shapes.From the beginning to the middle of the 1960ies people experimented at Kartell with new production methods through which strong and tough plastic was won of which they could produce furniture. An earlier and - like it was said - first plastic chair ever, the chunky, but stackable and weatherproof children's chair ""K4999"" was designed in 1964 in cooperation with the designers Marco Zanuso and Richard Sapper. While they produced only householdware and little lamp series at Kartell, was the century of the plastic furnitureintroduced by the small ""K4999"".In the 1960ies Kartell managed in the labs the research, so that designers could design their designs with always new patent plastics. Italian Design-like Joe Colombo, Achille Castiglioni, Vico Magistretti or Anna Castelli Ferrieri designed on this basis different furniture series made of plastic, which are today classics. To this belong e.g. Joe Colombos stackable chair 4867 (1968), which is a bestseller or the stackable Container-Element 4970/84 by Anna Castelli Ferrieri (1967), which are build without any screws and other fastenings and which are still a inherent part in the programm of Kartell.",,"Kartell, Masters Chair, chair, Philippe Starck, Velle, chair, Design, Shop",,,,,,,,plastic,1,Default Category|Chairs,,,
Products without Electronics,approved,Simple,,01K01MA-01,1,Master Chair White,,,165.00,,,,Masters Chair wihte by Kartell | Chairs at Velle,,Masters Chair white by Kartell from the popular designer Philippe Starck. Buy this chair and more at the design furniture online shop | Velle,/masters-chair-white-kartell,100,white,570,470,840,,,,01K01MA,,B1
Products without Electronics,approved,Simple,,01K01MA-02,1,Master Chair Black,,,165.00,,,,Masters Chair black by Kartell | Chairs at Velle,,Masters Chair black by Kartell from the popular designer Philippe Starck. Buy this chair and more at the design furniture online shop | Velle,/masters-chair-black-kartell,100,black,570,470,840,,,,01K01MA,,B1
