"magento_id","product_type","has_options","name","price","price_type","required_options","short_description","sku","sku_type","small_image","special_from_date","special_to_date","tax_class_id","thumbnail","url","url_path","visibility","weight","weight_type","base_price_amount","base_price_base_unit","base_price_unit","delivery_time","pphundert","salesprogramm"
25,"bundle",1,"PETS DELI Monatsbestellung für kleine Hunde (30 Menüboxen)",60.0000,1,1,"Individuelle PETS DELI Menü's, perfekt angepasst an Ihr Tier.",64286050,1,"/h/u/hund_30.jpg","2014-04-29 00:00:00","2014-12-30 00:00:00",2,"/h/u/hund_30.jpg","/monatsbestellung-hund-30","/monatsbestellung-hund-30.html",4,"250g oder 500g",1,NULL,"G","G","2-3 Tage",0.80,NULL
27,"bundle",1,"PETS DELI Monatsbestellung für große Hunde (60 Menüboxen)",120.0000,1,1,"Individuelle PETS DELI Menü's, perfekt angepasst an Ihr Tier.",64287320,1,"/6/0/60_hund.jpg","2014-04-29 00:00:00","2014-12-30 00:00:00",2,"/6/0/60_hund.jpg","/monatsbestellung-hund-60","/monatsbestellung-hund-60.html",4,"250g oder 500g",1,NULL,"G","G","2-3 Tage",0.80,NULL
28,"bundle",1,"PETS DELI Starter-Paket für Hunde (10x Menüboxen)",20.0000,1,1,"Individuelle PETS DELI Menü's, perfekt angepasst an Ihr Tier.",58188594,1,"/1/0/10_hund.jpg","2014-04-29 00:00:00","2014-12-30 00:00:00",2,"/1/0/10_hund.jpg","/starterpaket-hund","/starterpaket-hund-145.html",4,"250g oder 500g",1,NULL,"G","G","2-3 Tage",0.80,NULL
36,"simple",0,"PETS DELI Trockenfleisch Hühnerbrustfilet 100g",5.0000,NULL,0,"Luftgetrocknetes PETS DELI Trockenfleisch als gesunder Snack oder kleine Belohnung.
",57971946,NULL,"/m/f/mfd_1179_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1179_a.jpg","/trockenfleisch-huehnerbrustfilet","/trockenfleisch-huehnerbrustfilet.html",4,"100g",NULL,NULL,"KG","KG","2-3 Tage",5.00,NULL
40,"simple",0,"PETS DELI Trockenfleisch Rinderfilet 100g",5.0000,NULL,0,"Luftgetrocknetes PETS DELI Trockenfleisch als gesunder Snack oder kleine Belohnung.
",57971928,NULL,"/m/f/mfd_1183_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1183_a.jpg","/trockenfleisch-rinderfilet","/trockenfleisch-rinderfilet.html",4,"100g",NULL,NULL,"KG","KG","2-3 Tage",5.00,NULL
42,"simple",0,"PETS DELI Trockenfleisch Känguru 100g",6.0000,NULL,0,"Luftgetrocknetes PETS DELI Trockenfleisch als gesunder Snack oder kleine Belohnung.
",57971836,NULL,"/m/f/mfd_1184_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1184_a.jpg","/trockenfleisch-kaenguru","/trockenfleisch-kaenguru.html",4,"100g",NULL,NULL,"KG","KG","2-3 Tage",6.00,NULL
43,"simple",0,"PETS DELI Trockenfleisch Entenbrustfilet 100g",5.0000,NULL,0,"Luftgetrocknetes PETS DELI Trockenfleisch als gesunder Snack oder kleine Belohnung.
",57971798,NULL,"/m/f/mfd_1178_a.jpg",NULL,NULL,2,"/m/f/mfd_1178_a.jpg","/trockenfleisch-entenbrustfilet","/trockenfleisch-entenbrustfilet.html",4,"100g",NULL,NULL,"KG","KG","2-3 Tage",5.00,NULL
44,"simple",0,"PETS DELI Lachsöl 250ml",9.0000,NULL,0,"Unverzichtbare Nahrungsergänzung für Ihr Tier.
",55146231,NULL,"/m/f/mfd_1028_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1028_a.jpg","/lachsoel","/lachsoel.html",4,"250 ml",NULL,NULL,"KG","KG","1-2 Werktage",3.60,NULL
45,"simple",0,"PETS DELI Leinöl 250ml",7.0000,NULL,0,"PETS DELI Leinöl. Der Topseller für die Nahrungsergänzung.
",55146226,NULL,"/m/f/mfd_1029_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1029_a.jpg","/leinoel","/leinoel.html",4,"250ml",NULL,NULL,"KG","KG","1-2 Werktage",2.80,NULL
47,"simple",0,"PETS DELI Mixflocken 250g",3.5000,NULL,0,"PETS DELI Supplements für die artgerechte Ernährung.
",57971128,NULL,"/m/f/mfd_1173_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1173_a.jpg","/mixflocken","/mixflocken-117.html",4,"250g",NULL,NULL,"KG","KG","1-2 Werktage",1.4,NULL
48,"simple",0,"PETS DELI Reis-Gemüse-Flocken 250g",3.5000,NULL,0,"PETS DELI Supplements für eine vollwertige Ernährung.
",57971482,NULL,"/m/f/mfd_1174_a.jpg","2014-04-26 00:00:00","2014-05-31 00:00:00",2,"/m/f/mfd_1174_a.jpg","/reis-gemuese-flocken","/reis-gemuese-flocken.html",4,"250g",NULL,NULL,"KG","KG","1-2 Werktage",1.4,NULL
49,"simple",0,"PETS DELI Gemüse-Kräuter-Flocken 250g",3.5000,NULL,0,"PETS DELI Supplements. Gemüse und Kräuter.
",57971351,NULL,"/m/f/mfd_1175_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1175_a.jpg","/gemuese-kraeuter-flocken","/gemuese-kraeuter-flocken.html",4,"250g",NULL,NULL,"KG","KG","1-2 Werktage",1.4,NULL
50,"simple",0,"PETS DELI Cookies Strauß-Kartoffel 100g",4.0000,NULL,0,"PETS DELI Cookies. Mit Straußenfleisch und Kartoffeln.
",57970693,NULL,"/m/f/mfd_1172_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1172_a.jpg","/cookies-strauss-kartoffel","/cookies-strauss-kartoffel.html",4,"100g",NULL,NULL,"KG","KG","2-3 Tage",4.00,NULL
51,"simple",0,"PETS DELI Rote Beete 100g",4.0000,NULL,0,"Rote Beete. Getrocknet. Pure, natürliche Vitamine und Mineralstoffe.
",58076697,NULL,"/m/f/mfd_1235_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1235_a.jpg","/rote-beete","/rote-beete.html",4,"100g",NULL,NULL,"KG","KG","1-2 Werktage",4.00,NULL
52,"simple",0,"PETS DELI Cookies Strauß-Reis 100g",4.0000,NULL,0,"PETS DELI Cookies. Mit Straußenfleisch und Reis.
",57970428,NULL,"/m/f/mfd_1170_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1170_a.jpg","/cookies-strauss-reis","/cookies-strauss-reis.html",4,"100g",NULL,NULL,"KG","KG","2-3 Tage",4.00,NULL
53,"simple",0,"PETS DELI Cookies BIO-Mix 100g",4.0000,NULL,0,"PETS DELI BIO Cookies. Alle Sorten in einer Packung.
",57970290,NULL,"/m/f/mfd_1166_a.jpg","2014-04-26 00:00:00","2014-12-30 00:00:00",2,"/m/f/mfd_1166_a.jpg","/cookies-mix","/cookies-mix.html",4,"0,1",NULL,NULL,"KG","KG","2-3 Tage",4.00,NULL
54,"simple",0,"PETS DELI Cookies BIO-Spinat 100g",4.0000,NULL,0,"PETS DELI BIO Cookies. Mit Spinat.
",57970769,NULL,"/m/f/mfd_1168_a.jpg","2014-04-26 00:00:00","2014-12-31 00:00:00",2,"/m/f/mfd_1168_a.jpg","/bio-spinat","/bio-spinat.html",4,"100g",NULL,NULL,"KG","KG","2-3 Tage",4.00,NULL
55,"simple",0,"PETS DELI Cookies BIO-Tomate 100g",4.0000,NULL,0,"PETS DELI BIO Cookies. Mit Tomate.
",57970819,NULL,"/m/f/mfd_1165_a.jpg","2014-04-26 00:00:00","2014-12-31 00:00:00",2,"/m/f/mfd_1165_a.jpg","/bio-tomate","/bio-tomate.html",4,"100g",NULL,NULL,"KG","KG","2-3 Werktage",4.00,NULL
