abstract_sku,concrete_sku,price_type,price
001,,DEFAULT,9999
002,,DEFAULT,9999
003,,DEFAULT,6500
,003_30692992,DEFAULT,7000
,003_30692991,DEFAULT,7000
004,,DEFAULT,34500
005,,DEFAULT,34500
006,,DEFAULT,34500
007,,DEFAULT,9999
008,,DEFAULT,34600
,008_21081478,DEFAULT,36600
,008_21081475,DEFAULT,36600
009,,DEFAULT,5699
,009_21994751,DEFAULT,4579
010,,DEFAULT,6000
011,,DEFAULT,9999
012,,DEFAULT,345699
013,,DEFAULT,34599
014,,DEFAULT,9999
015,,DEFAULT,10580
,015_25905593,DEFAULT,10680
016,,DEFAULT,26000
,016_25904010,DEFAULT,26723
028,,DEFAULT,44500
,028_21919624,DEFAULT,30000
041,,DEFAULT,4200
,041_30856274,DEFAULT,4900
,041_27290499,DEFAULT,3000
059,,DEFAULT,41024
,059_30069636,DEFAULT,45024
,059_30069631,DEFAULT,40024
071,,DEFAULT,2800
,071_31743669,DEFAULT,2500
072,,DEFAULT,31019
,072_29759322,DEFAULT,29747
083,,DEFAULT,17999
,083_25977678,DEFAULT,16999
,083_25977676,DEFAULT,15999
098,,DEFAULT,15899
,098_30375366,DEFAULT,15799
139,,DEFAULT,10380
,139_14678762,DEFAULT,9080
017,,DEFAULT,7322
018,,DEFAULT,32149
019,,DEFAULT,39217
020,,DEFAULT,4119
021,,DEFAULT,5724
022,,DEFAULT,12244
023,,DEFAULT,16694
025,,DEFAULT,30784
026,,DEFAULT,12428
027,,DEFAULT,23761
029,,DEFAULT,33505
030,,DEFAULT,22054
031,,DEFAULT,9002
032,,DEFAULT,31823
033,,DEFAULT,42259
034,,DEFAULT,7365
035,,DEFAULT,40651
036,,DEFAULT,35435
037,,DEFAULT,1879
038,,DEFAULT,19137
039,,DEFAULT,33265
040,,DEFAULT,41339
042,,DEFAULT,26432
043,,DEFAULT,3454
044,,DEFAULT,42957
045,,DEFAULT,36742
046,,DEFAULT,21192
047,,DEFAULT,44182
048,,DEFAULT,37358
049,,DEFAULT,7429
050,,DEFAULT,41837
051,,DEFAULT,39810
052,,DEFAULT,27975
053,,DEFAULT,2952
054,,DEFAULT,19700
055,,DEFAULT,5448
056,,DEFAULT,32166
057,,DEFAULT,39353
058,,DEFAULT,22240
060,,DEFAULT,8005
061,,DEFAULT,20012
062,,DEFAULT,29678
063,,DEFAULT,44436
064,,DEFAULT,17077
065,,DEFAULT,40462
066,,DEFAULT,24435
067,,DEFAULT,42131
068,,DEFAULT,41575
069,,DEFAULT,11714
070,,DEFAULT,10624
073,,DEFAULT,41587
074,,DEFAULT,16647
075,,DEFAULT,13643
076,,DEFAULT,43458
077,,DEFAULT,6707
078,,DEFAULT,31670
079,,DEFAULT,1988
080,,DEFAULT,34566
081,,DEFAULT,35711
082,,DEFAULT,14554
084,,DEFAULT,25584
085,,DEFAULT,42502
086,,DEFAULT,25214
087,,DEFAULT,39107
088,,DEFAULT,37090
089,,DEFAULT,33253
090,,DEFAULT,32355
091,,DEFAULT,38168
092,,DEFAULT,18001
093,,DEFAULT,18415
094,,DEFAULT,9865
095,,DEFAULT,41393
096,,DEFAULT,20160
097,,DEFAULT,19712
099,,DEFAULT,17459
100,,DEFAULT,24899
111,,DEFAULT,28178
113,,DEFAULT,17994
114,,DEFAULT,28861
115,,DEFAULT,39467
116,,DEFAULT,24940
117,,DEFAULT,23010
118,,DEFAULT,6277
119,,DEFAULT,32909
120,,DEFAULT,13865
121,,DEFAULT,20254
122,,DEFAULT,3918
123,,DEFAULT,26641
124,,DEFAULT,44713
125,,DEFAULT,11611
126,,DEFAULT,17774
127,,DEFAULT,12572
128,,DEFAULT,34668
129,,DEFAULT,19568
130,,DEFAULT,24905
131,,DEFAULT,43723
132,,DEFAULT,2079
133,,DEFAULT,2070
134,,DEFAULT,33109
135,,DEFAULT,39173
136,,DEFAULT,13995
137,,DEFAULT,18448
138,,DEFAULT,16272
140,,DEFAULT,34021
