slug,variantId,sku,name.en,manufacturer_name,product_id,image_big,image_small,category_id,category_key,xml_url,on_market,on_market_countries_set,icecat_last_updated
153_acer_m2610,1,26427900,M2610,Acer,DT.X0CEG.003,http://images.icecat.biz/img/norm/high/26427900-4898.jpg,http://images.icecat.biz/img/norm/low/26427900-4898.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/26427900.xml,1,BE;IT;GB;AT;FR;NL;DE,2016-02-27T16:29:39.000Z
153_acer_m6640g,1,29885591,M6640G,Acer,DT.VN1EH.002,http://images.icecat.biz/img/gallery/29885591_7502.jpg,http://images.icecat.biz/img/gallery_lows/29885591_7502.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29885591.xml,1,DE;BE;NL,2016-02-29T09:20:13.000Z
153_asus_m32ad-be009t,1,29911080,M32AD-BE009T,ASUS,90PD00U3-M13160,http://images.icecat.biz/img/gallery/29911080_4527.jpg,http://images.icecat.biz/img/gallery_lows/29911080_4527.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29911080.xml,1,NL;BE;DE,2016-02-28T01:06:31.000Z
153_dell_3020,1,24403939,3020,DELL,3020-8927,http://images.icecat.biz/img/norm/high/24403939-7044.jpg,http://images.icecat.biz/img/norm/low/24403939-7044.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/24403939.xml,1,FI;NL;DE;CH;AT;FR;IS;BE,2016-02-21T05:38:32.000Z
153_dell_9020,1,27128227,9020,DELL,9020-5724,http://images.icecat.biz/img/norm/high/27128227-1880.jpg,http://images.icecat.biz/img/norm/low/27128227-1880.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/27128227.xml,1,AT;FI;NL;FR;DE,2016-02-26T05:13:19.000Z
153_fujitsu_e420,1,29804739,E420,Fujitsu,VFY:E0420P751OBE,http://images.icecat.biz/img/gallery/29804739_5216.jpg,http://images.icecat.biz/img/gallery_lows/29804739_5216.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29804739.xml,1,WW;DE;BE;NL,2015-12-31T11:48:52.000Z
153_fujitsu_e920,1,29804808,E920,Fujitsu,VFY:E0920P75SGBE,http://images.icecat.biz/img/gallery/29804808_8209.jpg,http://images.icecat.biz/img/gallery_lows/29804808_8209.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29804808.xml,1,NL;BE;WW;DE,2015-12-31T13:42:42.000Z
153_fujitsu_m740,1,29374842,M740,Fujitsu,VFY:M7400W580CBE,http://images.icecat.biz/img/gallery/29374842_2706.jpg,http://images.icecat.biz/img/gallery_lows/29374842_2706.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29374842.xml,1,WW;NL;DE;BE,2016-02-28T18:46:15.000Z
153_fujitsu_p420,1,29804957,P420,Fujitsu,VFY:P0420P75BOBE,http://images.icecat.biz/img/gallery/29804957_0651.jpg,http://images.icecat.biz/img/gallery_lows/29804957_0651.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29804957.xml,1,FR;DE;BE;WW;NL,2015-12-31T11:48:55.000Z
153_fujitsu_r940,1,29374843,R940,Fujitsu,VFY:R9400W581BBE,http://images.icecat.biz/img/gallery/29374843_2898.jpg,http://images.icecat.biz/img/gallery_lows/29374843_2898.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29374843.xml,1,WW;NL;DE;BE,2015-12-29T18:22:56.000Z
153_hp_230-twr,1,25885453,230 TWR,HP,J9B38ET,http://images.icecat.biz/img/gallery/26452302_4564.jpg,,153,43171803,http://data.icecat.biz/export/freexml/INT/25885453.xml,1,IT;DE;FR;NL;AT,2016-01-02T08:45:18.000Z
153_hp_280-g1,1,29406823,280 G1,HP,N9E78EA,http://images.icecat.biz/img/gallery/29406823_8847.jpg,http://images.icecat.biz/img/gallery_lows/29406823_8847.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29406823.xml,1,IT;PL;NO;DK;FR;AT;US;DE;RU;SE;NL;IE;GB,2016-02-27T15:09:57.000Z
153_hp_400-g25-sff,1,28552654,400 G2.5 SFF,HP,M3X11EA,http://images.icecat.biz/img/gallery/29238957_7534.jpg,http://images.icecat.biz/img/gallery_lows/29238957_7534.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/28552654.xml,1,CH;FR;RU;DE;NL;IT;GB,2016-01-16T23:02:19.000Z
153_hp_400-g3-mt,1,29891383,400 G3 MT,HP,P5K01EA,http://images.icecat.biz/img/gallery/29891069_9293.jpg,,153,43171803,http://data.icecat.biz/export/freexml/INT/29891383.xml,1,NO;NL;CZ;RU;GB;DK;HU;IE;SE;BE;US;DE,2016-02-27T14:55:34.000Z
153_hp_440-mt,1,24801337,440 MT,HP,G1X59EA,http://images.icecat.biz/img/gallery/24801337_6544.jpg,http://images.icecat.biz/img/gallery_lows/24801337_6544.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/24801337.xml,1,DK;NL;NO;RU;DE;SE;US;FI;AE;IE;CH;PL;GB,2015-12-29T17:56:33.000Z
153_hp_600-g1-sff,1,23061675,600 G1 SFF,HP,J0E94ET#ABH,http://images.icecat.biz/img/norm/high/23061675-3939.jpg,http://images.icecat.biz/img/norm/low/23061675-3939.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/23061675.xml,1,DE;BE;GB;NL,2016-02-09T14:57:32.000Z
153_hp_600-g2-mt,1,29891842,600 G2 MT,HP,P1G84EA,http://images.icecat.biz/img/gallery/29891842_6106.jpg,http://images.icecat.biz/img/gallery_lows/29891842_6106.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29891842.xml,1,NL;NO;SE;DE;CH;FI;BE;PL;DK,2016-02-27T17:10:22.000Z
153_hp_620,1,13710816,620,HP,WM439EA,http://images.icecat.biz/img/norm/high/13710816-7488.jpg,http://images.icecat.biz/img/norm/low/13710816-7488.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/13710816.xml,1,RU;GB;AT;BE;NL;DE,2016-01-18T17:52:25.000Z
153_hp_800-g1,1,24673744,800 G1,HP,J0F02ET,http://images.icecat.biz/img/norm/high/24673744-5689.jpg,http://images.icecat.biz/img/norm/low/24673744-5689.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/24673744.xml,1,AT;FI;FR;IT;BE;NL;US;IE;GB;DE,2016-02-27T18:42:01.000Z
153_hp_p1g46ea,1,29891041,P1G46EA,HP,P1G46EA,http://images.icecat.biz/img/gallery/29891041_6657.jpg,http://images.icecat.biz/img/gallery_lows/29891041_6657.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29891041.xml,1,ES;DE;US;HU;RU;NL;SE;BE;FI;DK;CH;PT;IT;NO;TR;FR;GB,2016-02-27T21:44:01.000Z
153_lenovo_e73,1,29529631,E73,Lenovo,10DU000TMB,http://images.icecat.biz/img/norm/high/29529631-5845.jpg,http://images.icecat.biz/img/norm/low/29529631-5845.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29529631.xml,1,NL;DE;BE,2016-01-16T23:14:21.000Z
153_lenovo_e73,2,29761404,E73,Lenovo,10DS000SIX,http://images.icecat.biz/img/gallery/29761404_1690.jpg,http://images.icecat.biz/img/gallery_lows/29761404_1690.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/29761404.xml,1,DE;IT;NL,2016-02-22T09:46:46.000Z
153_lenovo_m73,1,27107296,M73,Lenovo,10B5000XUK,http://images.icecat.biz/img/norm/high/27107296-7713.jpg,http://images.icecat.biz/img/norm/low/27107296-7713.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/27107296.xml,1,IE;DE;NL;US;GB;FI,2016-01-16T22:39:00.000Z
153_lenovo_p300-tower,1,23087059,P300 Tower,Lenovo,30AH001GMT,http://images.icecat.biz/img/norm/high/23087059-3229.jpg,http://images.icecat.biz/img/norm/low/23087059-3229.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/23087059.xml,1,DK;IT;ES;NL;GB;FI;BE;NO;SE;DE,2016-02-28T08:05:42.000Z
153_lenovo_p310,1,30648859,P310,Lenovo,30AT003QGE,http://images.icecat.biz/img/norm/high/30648859-5472.jpg,http://images.icecat.biz/img/norm/low/30648859-5472.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/30648859.xml,1,FI;DE;NL;IS;AT;UA,2016-02-10T23:41:00.000Z
153_lenovo_p900,1,24788120,P900,Lenovo,30A5000CMT,http://images.icecat.biz/img/norm/high/24788120-7062.jpg,http://images.icecat.biz/img/norm/low/24788120-7062.jpg,153,43171803,http://data.icecat.biz/export/freexml/INT/24788120.xml,1,BE;GB;ES;FI;NO;DK;NL;DE;SE;IT,2015-12-29T18:17:09.000Z
