sku,variant_id,quantity,is_never_out_of_stock,stock_type
21416382,1,96,0,Warehouse2
20849175,1,156,0,Warehouse2
29545166,1,142,0,Warehouse2
24401697,1,81,0,Warehouse2
25905066,1,171,0,Warehouse1
27123315,1,192,0,Warehouse2
26231597,1,29,0,Warehouse1
29885472,1,18,0,Warehouse2
25558467,1,150,0,Warehouse1
29900747,1,60,0,Warehouse2
29853938,1,106,0,Warehouse1
30375360,1,152,0,Warehouse1
28548759,1,143,0,Warehouse1
28463875,1,157,0,Warehouse1
29406168,1,131,0,Warehouse1
29750512,1,181,0,Warehouse1
27104941,1,4,0,Warehouse2
29376694,1,190,0,Warehouse2
26058615,1,96,0,Warehouse1
28467014,1,123,0,Warehouse1
29755564,1,120,0,Warehouse2
26512671,2,22,0,Warehouse2
30783507,1,138,0,Warehouse1
27277017,1,146,0,Warehouse1
30579515,1,81,0,Warehouse1
26427900,1,15,0,Warehouse2
29885591,1,39,0,Warehouse2
29911080,2,196,0,Warehouse2
24403939,1,190,0,Warehouse2
27128227,1,10,0,Warehouse2
29804739,1,170,0,Warehouse2
29804808,1,147,0,Warehouse2
29374842,1,128,0,Warehouse2
29804957,1,120,0,Warehouse1
29374843,1,6,0,Warehouse1
25885453,1,90,0,Warehouse2
29406823,1,157,0,Warehouse2
28552654,1,74,0,Warehouse1
29891383,2,150,0,Warehouse1
24801337,1,181,0,Warehouse1
23061675,1,24,0,Warehouse2
29891842,1,16,0,Warehouse1
13710816,1,161,0,Warehouse1
24673744,1,43,0,Warehouse2
29891041,1,163,0,Warehouse1
29529631,1,70,0,Warehouse2
29761404,2,43,0,Warehouse1
27107296,1,107,0,Warehouse2
23087059,1,152,0,Warehouse1
30648859,1,194,0,Warehouse2
24788120,1,67,0,Warehouse1
27003893,1,83,0,Warehouse1
27207215,1,195,0,Warehouse2
26192836,2,117,0,Warehouse2
24235707,1,175,0,Warehouse1
27290499,1,173,0,Warehouse2
22196533,1,93,0,Warehouse2
19611864,1,60,0,Warehouse1
29805780,1,199,0,Warehouse2
29843537,2,2,0,Warehouse2
26175504,3,156,0,Warehouse1
26175505,1,94,0,Warehouse2
29406183,1,88,0,Warehouse2
29406182,2,169,0,Warehouse1
29406184,1,25,0,Warehouse2
30620196,1,197,0,Warehouse1
26552089,1,46,0,Warehouse1
25923236,2,115,0,Warehouse1
21736789,3,35,0,Warehouse1
24751053,4,183,0,Warehouse1
23339155,1,129,0,Warehouse2
26346564,1,7,0,Warehouse1
26408542,1,143,0,Warehouse1
26408559,1,74,0,Warehouse2
29544908,2,169,0,Warehouse1
24675870,1,102,0,Warehouse2
29847624,1,147,0,Warehouse2
26534020,1,122,0,Warehouse1
29579058,2,195,0,Warehouse1
29579061,1,73,0,Warehouse1
29579056,1,53,0,Warehouse1
24602396,1,111,0,Warehouse1
29801571,1,148,0,Warehouse1
29731567,1,137,0,Warehouse2
19682158,1,56,0,Warehouse2
19682159,1,190,0,Warehouse2
19763031,1,73,0,Warehouse2
24666697,1,6,0,Warehouse1
30014805,1,62,0,Warehouse1
30014807,1,157,0,Warehouse1
29901936,1,154,0,Warehouse1
12295890,1,154,0,Warehouse2
24495842,1,54,0,Warehouse1
24495843,1,135,0,Warehouse1
26512883,1,167,0,Warehouse1
26512884,1,67,0,Warehouse1
21047360,1,76,0,Warehouse2
29727910,1,116,0,Warehouse1
28535676,1,2,0,Warehouse1
24495852,1,4,0,Warehouse1
24495853,1,171,0,Warehouse2
22078075,1,42,0,Warehouse1
29634940,1,190,0,Warehouse1
29634947,1,59,0,Warehouse1
21751902,1,125,0,Warehouse1
25905585,1,81,0,Warehouse1
25904598,1,73,0,Warehouse1
30688700,1,179,0,Warehouse2
30021637,1,111,0,Warehouse2
18146996,1,174,0,Warehouse1
25904691,1,120,0,Warehouse1
26224361,1,95,0,Warehouse2
29393146,1,17,0,Warehouse1
22766226,1,18,0,Warehouse1
26141878,1,62,0,Warehouse1
26933260,1,75,0,Warehouse1
12255434,1,15,0,Warehouse2
17365820,1,75,0,Warehouse1
18662566,1,163,0,Warehouse2
25910847,1,55,0,Warehouse1
25955264,1,148,0,Warehouse2
30150732,1,166,0,Warehouse1
17681791,1,170,0,Warehouse2
828188,1,146,0,Warehouse1
25904123,1,58,0,Warehouse2
19692589,1,157,0,Warehouse2
24788780,1,160,0,Warehouse1
15619960,1,172,0,Warehouse2
29851280,1,61,0,Warehouse2
6350138,1,195,0,Warehouse2
29545800,1,10,0,Warehouse1
29525342,1,155,0,Warehouse1
29525343,1,186,0,Warehouse1
29518547,1,28,0,Warehouse2
29518551,1,162,0,Warehouse1
29565391,1,37,0,Warehouse2
28373128,1,18,0,Warehouse1
29565389,2,130,0,Warehouse2
26289661,3,147,0,Warehouse1
28586825,4,68,0,Warehouse1
25988329,5,195,0,Warehouse1
25893779,6,181,0,Warehouse2
29414094,7,76,0,Warehouse2
29743301,8,131,0,Warehouse2
27262160,9,140,0,Warehouse2
30274741,10,59,0,Warehouse2
26072016,11,194,0,Warehouse1
22626962,12,174,0,Warehouse2
24980927,13,42,0,Warehouse1
29385583,14,128,0,Warehouse1
28547942,15,84,0,Warehouse2
26981568,16,113,0,Warehouse2
26564922,17,167,0,Warehouse1
29536449,18,90,0,Warehouse2
30345097,19,117,0,Warehouse2
21811723,20,117,0,Warehouse2
26974234,21,182,0,Warehouse1
24692598,22,66,0,Warehouse1
