sku,Bildsensor,Linsensystem,Fokussierung,Bildschirm,Video,short_description,long_description
17365820,CMOS,10 x,Auto/Manuell,"8,9 cm (3.5"")",Handkamerarekorder,"Canon LEGRIA HF G25, CMOS, Handkamerarekorder, 1/2000, 25,4 / 3 mm (1 / 3""), 4,25 - 42,5 mm, Speicherkarte","Canon HF G25, LEGRIA. Sensor-Typ: CMOS, Megapixel insgesamt: 2,37 MP, CCD-Sensorgröße: 25,4 / 3 mm (1 / 3""). Optischer Zoom: 10x, Digitaler Zoom: 200x, Brennweitenbereich: 4,25 - 42,5 mm. Interne Speicherkapazität: 32 GB, Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell, Naheinstellgrenze: 0,1 m. Weißabgleich: Auto, wolkig, Tageslicht, fluorisierend, Fluoreszierend H, Schatten, Wolfram"
18662566,CMOS,20 x,Auto/Manuell,"8,9 cm (3.5"")",DIGIC DV IV,"Canon HF G30 LEGRIA, CMOS, 3,09 MP, 1/0,112 mm (1/2.84""), 20x, 400x, 3,67 - 73,4 mm","Canon HF G30, LEGRIA. CCD-Bildsensor: CMOS, Megapixel insgesamt: 3,09 MP, CCD-Sensorgröße: 1/0,112 mm (1/2.84""). Optischer Zoom: 20x, Digitaler Zoom: 400x, Brennweitenbereich: 3,67 - 73,4 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC, Max. Speicherkartengröße: 64 GB. Fokus-Apassung: Auto/Manuell. Belichtungstyp: Manuell, Szenenmodus: Strand, Fireworks, Nacht, Porträt, Schnee, Sport, Spotlight, Sonnenuntergang"
25910847,CMOS,32 x,Auto/Manuell,"7,6 cm (3"")",Handkamerarekorder,"Canon LEGRIA HF R606, CMOS, Handkamerarekorder, 1/2000 - 1/2, 25,4 / 4,85 mm (1 / 4.85""), 2,8 - 89,6 mm, Speicherkarte","Canon HF R606, LEGRIA. Sensor-Typ: CMOS, Megapixel insgesamt: 3,28 MP, CCD-Sensorgröße: 25,4 / 4,85 mm (1 / 4.85""). Optischer Zoom: 32x, Digitaler Zoom: 1140x, Brennweitenbereich: 2,8 - 89,6 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell. Szenenmodus: Strand, Feuerwerk, Nacht, Porträt, Sonnenuntergang"
25955264,CCD,32 x,Auto/Manuell,"7,6 cm (3"")",Handkamerarekorder,"Canon LEGRIA HF R66, CCD, Handkamerarekorder, 0.0005 - 0.5, 25,4 / 4,85 mm (1 / 4.85""), 2,8 - 89,6 mm, Speicherkarte","Canon HF R66, LEGRIA. Sensor-Typ: CCD, Megapixel insgesamt: 3,28 MP, CCD-Sensorgröße: 25,4 / 4,85 mm (1 / 4.85""). Optischer Zoom: 32x, Digitaler Zoom: 1140x, Brennweitenbereich: 2,8 - 89,6 mm. Interne Speicherkapazität: 8 GB, Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell. Belichtungstyp: Auto, Szenenmodus: Strand, Feuerwerk, Nacht, Porträt, Spotlight, Sonnenuntergang"
30150732,CMOS,,Auto/Manuell,,"1280 x 720, 1920 x 1080 Pixel","	Ricoh Theta S, CMOS, Handkamerarekorder, 25,4 / 2,3 mm (1 / 2.3""), Auto, wolkig, Tageslicht, fluorisierend, glühend, Lamp, Outdoor, Schatten, Full HD, 5376 x 2688 Pixel ","Ricoh Theta S. Sensor-Typ: CMOS, Megapixel insgesamt: 14 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""). Interne Speicherkapazität: 8 GB. ISO-Empfindlichkeit: 100, 125, 160, 200, 250, 320, 400, 640, 800, 1000, 1250, 1600, Belichtungstyp: Manuell, Belichtungskorrektur: ± 2EV (1/3EV step). Weißabgleich: Auto, wolkig, Tageslicht, fluorisierend, glühend, Lamp, Outdoor, Schatten. Verschlussgeschwindigkeit (video): 1/8000 - 1/30, Verschlussgeschwindigkeit (photo): 1/6400 - 1/8"
17681791,CMOS,52 x,Auto/Manuell,"6,9 cm (2.7"")",1280 x 720 Pixel,"Samsung HMX-F90WP, CMOS, 5 MP, 1/0,126 mm (1/3.2""), 52x, 130x, 2,1 - 109,2 mm","Samsung HMX-F90WP. CCD-Bildsensor: CMOS, Megapixel insgesamt: 5 MP, CCD-Sensorgröße: 1/0,126 mm (1/3.2""). Optischer Zoom: 52x, Digitaler Zoom: 130x, Brennweitenbereich: 2,1 - 109,2 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell. Weißabgleich: Auto"
25904159,CMOS,10 x,Auto/Manuell,"7,6 cm (3"")",Full HD,"Sony FDR-AX33, CMOS, Handkamerarekorder, 1/6 - 1/10000, 25,4 / 2,3 mm (1 / 2.3""), 3,8 - 38 mm, Speicherkarte","Sony FDR-AX33. Sensor-Typ: CMOS, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""), Effektive Megapixel (Bild): 10,3 MP. Optischer Zoom: 10x, Digitaler Zoom: 120x, Brennweitenbereich: 3,8 - 38 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: MS PRO Duo, MS Pro-HG Duo, MS XC-HG Duo, SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell. Weißabgleich: Auto, Innenraum, Outdoor"
30793788,CMOS,20 x,Auto/Manuell,"7,6 cm (3"")",4K Ultra HD,"Sony FDR-AX53, Elektronisch, CMOS, Handkamerarekorder, 1/6 - 1/10000, 25,4 / 2,5 mm (1 / 2.5""), 26,8 - 536 mm","Sony FDR-AX53. Sensor-Typ: CMOS, Megapixel insgesamt: 8,29 MP, CCD-Sensorgröße: 25,4 / 2,5 mm (1 / 2.5""). Optischer Zoom: 20x, Digitaler Zoom: 250x, Brennweitenbereich: 26,8 - 536 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: MS PRO Duo, MS Pro-HG Duo, MS XC-HG Duo, SD, SDHC, SDXC, Kamera-Dateisystem: DCF 2.0, Exif 2.3, MPF. Fokus-Apassung: Auto/Manuell, Naheinstellgrenze: 0,01 m. Belichtungstyp: Auto, Manuell, Belichtungsmessung: Spot"
25904123,CMOS,30 x,Auto/Manuell,"6,9 cm (2.7"")",Full HD,"Sony HDR-CX405, CMOS, Handkamerarekorder, 1/25 - 1/10000, 25,4 / 5,8 mm (1 / 5.8""), 1,9 - 57 mm, Speicherkarte","Sony HDR-CX405. Sensor-Typ: CMOS, Megapixel insgesamt: 9,2 MP, CCD-Sensorgröße: 25,4 / 5,8 mm (1 / 5.8""). Optischer Zoom: 30x, Digitaler Zoom: 350x, Brennweitenbereich: 1,9 - 57 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC. Fokus-Apassung: Auto/Manuell. Belichtungstyp: Auto, Szenenmodus: Feuerwerk, Landschaft, Porträt, Spotlight, Strand, Schnee"
19692589,CMOS,,Auto,"6,9 cm (2.7"")",Full HD,"Sony HDR-MV1, CMOS, Handkamerarekorder, 1/30 - 1/10000, 25,4 / 2,3 mm (1 / 2.3""), Speicherkarte, Auto","Sony HDR-MV1. Sensor-Typ: CMOS, Megapixel insgesamt: 16,8 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""). Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC, MS Micro (M2). Fokus-Apassung: Auto. Szenenmodus: Strand, Feuerwerk, Landschaft, Nachtlandschaft, Schnee, Spotlight, Sonnenaufgang, Sonnenuntergang. Weißabgleich: Auto"
