sku,Prozessor,RAM-Speicher,Bildschirm,Gesamtspeicher,Farbe,short_description,long_description
21416382,"Intel Pentium 2,4 GHz",4 GB,17.3",500 GB,Grau,"Acer Aspire 731-4699, 2020M, DVD Super Multi DL, Touchpad, Windows 7 Home Premium, Lithium-Ion (Li-Ion), 64-bit","Acer Aspire 731-4699. Produkttyp: Notebook, Produktfarbe: Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,4 GHz, Prozessorfamilie: Intel Pentium, Prozessor: 2020M. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 8 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 43,9 cm (17.3""), Bildschirmauflösung: 1600 x 900 Pixel, Panel-Typ: TN"
29545166,Intel Core i5-5xxx 2.2 GHz,8 GB,15.6",1000 GB,Schwarz,"Acer Aspire E5-573T-5935, i5-5200U, DVD Super Multi, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion), 64-bit","Acer Aspire E5-573T-5935. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: Intel Core i5-5xxx, Prozessor: i5-5200U. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3L-SDRAM, Speichersteckplätze: 2x SO-DIMM. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9"
20849175,"Intel Celeron 1,4 GHz",4 GB,11.6",500 GB,Grau,"Acer Chromebook C720P-2625, 2955U, Touchpad, Chrome OS, Lithium-Ion (Li-Ion), Intel Celeron, HD","Acer Chromebook C720P-2625. Produkttyp: Chromebook, Produktfarbe: Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 1,4 GHz, Prozessorfamilie: Intel Celeron, Prozessor: 2955U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM. Gesamtspeicherkapazität: 16 GB, Speichermedien: SSD, SSD Speicherkapazität: 16 GB. Bildschirmdiagonale: 29,5 cm (11.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9"
24401697,"Intel Core i5-4xxx 1,7 GHz",5 GB,14",500 GB,Schwarz,"Acer TravelMate P246-M-52X2, i5-4210U, DVD-RW, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit","Acer TravelMate P246-M-52X2. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 1,7 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4210U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 35,6 cm (14""), Bildschirmauflösung: 1366 x 768 Pixel"
25905066,"Intel Atom 1,59 GHz",4 GB,11.6",500 GB,Blau,"ASUS Transformer Book T200TA-CP021P, Z3795, Touchpad, Windows 8.1 Pro, 64-bit, Intel Atom, 50/60 Hz","ASUS Transformer Book T200TA-CP021P. Produkttyp: Hybrid (2-in-1), Produktfarbe: Blau, Formfaktor: Convertible (Detachable). Prozessor-Taktfrequenz: 1,59 GHz, Prozessorfamilie: Intel Atom, Prozessor: Z3795. RAM-Speicher: 4 GB, Interner Speichertyp: LPDDR3-SDRAM, RAM-Speicher maximal: 4 GB. Gesamtspeicherkapazität: 64 GB, Speichermedien: SSD, SSD Speicherkapazität: 64 GB. Bildschirmdiagonale: 29,5 cm (11.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9"
26231597,"Intel Core M 0,8 GHz",4 GB,12.5",128 GB,Schwarz,"ASUS Transformer Book T300CHI-FL040P, M-5Y10, Touchpad, Windows 8.1 Pro, Intel Core M","ASUS Transformer Book T300CHI-FL040P. Produkttyp: Hybrid (2-in-1), Produktfarbe: Schwarz, Formfaktor: Convertible (Detachable). Prozessor-Taktfrequenz: 0,8 GHz, Prozessorfamilie: Intel Core M, Prozessor: M-5Y10. RAM-Speicher: 4 GB, Interner Speichertyp: LPDDR3-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 128 GB, Speichermedien: SSD, SSD Speicherkapazität: 128 GB. Bildschirmdiagonale: 31,8 cm (12.5"")"
29885472,Intel Core i3-5xxx 2 GHz,4 GB,13.3",500 GB,Grau,"DELL Chromebook 13, i3-5005U, Touchpad, Chrome OS, Intel Core i3-5xxx, HD, 50/60 Hz","DELL Chromebook 13. Produkttyp: Chromebook, Produktfarbe: Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2 GHz, Prozessorfamilie: Intel Core i3-5xxx, Prozessor: i3-5005U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 16 GB, Speichermedien: SSD, SSD Speicherkapazität: 16 GB. Bildschirmdiagonale: 33,8 cm (13.3""), Bildschirmauflösung: 1920 x 1080 Pixel, HD-Typ: Full HD"
29900747,"Intel Core i3-6xxx 2,3 GHz",4 GB,13.3",1000 GB,Silber,"DELL Inspiron 7359, i3-6100U, 0 - 35 °C, -40 - 65 °C, 10 - 90%, 0 - 95%, -15,2 - 3048 m","DELL Inspiron 7359. Produkttyp: Hybrid (2-in-1), Produktfarbe: Schwarz, Silber, Formfaktor: Konvertierbar (Ordner). Prozessor-Taktfrequenz: 2,3 GHz, Prozessorfamilie: Intel Core i3-6xxx, Prozessor: i3-6100U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Bildschirmdiagonale: 33,8 cm (13.3""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9"
25558467,"Intel Core i5-5xxx 2,2 GHz",4 GB,14",500 GB,Schwarz,"DELL Latitude 3450, i5-5200U, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit, Mehrsprachig","DELL Latitude 3450. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: Intel Core i5-5xxx, Prozessor: i5-5200U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 35,6 cm (14""), Bildschirmauflösung: 1366 x 768 Pixel, Display-Oberfläche: Matt"
29853938,"Intel Core i5-5xxx 2,2 GHz",8 GB,14",256 GB,Silber,"Fujitsu LIFEBOOK U745, i5-5200U, 5 - 35 °C, 20 - 85%, Touchpad, Windows 7 Professional, Lithium Polymer (LiPo)","Fujitsu LIFEBOOK U745. Produkttyp: Ultrabook, Produktfarbe: Schwarz, Silber, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: Intel Core i5-5xxx, Prozessor: i5-5200U. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Bildschirmdiagonale: 35,6 cm (14""), Bildschirmauflösung: 1920 x 1080 Pixel, HD-Typ: Full HD"
