sku,Display,Storage,Waterproof,Battery,Color,short_description,long_description,
22196533,144 x 168 pixels,,true,8h,"Red,White","Multi-Sport Cardio, Bluetooth, GPS + GLONASS, 63g","TomTom Multi-Sport Cardio. Display resolution: 144 x 168 pixels. Weight: 2.24 oz (63.5 g). Color of product: Red, White. Battery life: 8 h",
30014807,360 x 360 pixels,4 GB,false,250 mAh (Li-Ion),,"1.2"" 360 x 360 Super AMOLED, 1GHz Dual-Core, NFC, Wi-Fi, Bluetooth, Tizen","Samsung Gear S2. Internal RAM: 512 MB, Flash memory: 4 GB. Bluetooth version: 4.1, Wi-Fi standards: 802.11b, 802.11g, 802.11n. Battery technology: Lithium-Ion (Li-Ion), Battery performance: 250 mAh. Width: 1.67"" (4.23 cm), Depth: 1.96"" (4.98 cm), Thickness: 0.449"" (1.14 cm)",
27207215,128 x 128 pixels,,true,,,"1.28"" LCD, 128 x 128, touchscreen, Gorilla Glass 3, Bluetooth 4.0, accelerometer/heart rate sensor/UV sensor, IP67, 50 g, iOS & Android","ASUS VivoWatch. Display resolution: 128 x 128 pixels, Display type: LCD. Weight: 1.76 oz (50 g). Compatible operating systems: Android 4.3 +, Apple iOS 8.1 +. Color of product: Black. Battery type: Built-in",
24495853,296 x 128 pixels,,true,3 days,Black,"296 x 128 E Ink, Talk Time 1h, Bluetooth 4.0 Low Energy, Microphone, Micro USB, Waterproof 1.5m","Sony SmartBand Talk SWR30. Device type: Wristband, Color of product: Black, Band colour: Black. Display type: E-ink, Display diagonal: 1.4"", Display resolution: 296 x 128 pixels. Wireless technologies: Wireless, Bluetooth version: 4.0 LE. Mobile operating systems supported: Android 4.4, Applications: SmartBand Talk, Lifelog, Smart Connect. Battery life: 3 days",
26512884,320 x 320 pixels,4 GB,true,48h,"Brown, Black","Sensor, GPS, Android 4.3, Wi-fi, Bluetooth 4.0, Water protected, Brown Leather","Sony Smartwatch 3 SWR50. Internal RAM: 514 MB, Flash memory: 4 GB, Compatible memory cards: MMC. Bluetooth version: 4.0, USB connector type: Micro-USB. Battery performance: 420 mAh, Battery life: 48 h, Standby time (Bluetooth on): 95 h. Width: 1.42"" (3.6 cm), Depth: 0.394"" (1 cm), Thickness: 2.01"" (5.1 cm)",
24495852,296 x 128 pixels,,true,3 days,White,"296 x 128 E Ink, Talk Time 1h, Bluetooth 4.0 Low Energy, Microphone, Micro USB, Waterproof 1.5m","Sony SmartBand Talk SWR30. Device type: Wristband, Color of product: White, Band colour: White. Display type: E-ink, Display diagonal: 1.4"", Display resolution: 296 x 128 pixels. Wireless technologies: Wireless, Bluetooth version: 4.0 LE. Mobile operating systems supported: Android 4.4, Applications: SmartBand Talk, Lifelog, Smart Connect. Battery life: 3 days",
24495843,320 x 320 pixels,4 GB,true,48h,Yellow,"SmartWatch 3 SWR50 - 1.6"" 320 x 320, Quad ARM A7 1.2 Ghz, 512 MB RAM, 4 GB eMMC, Bluetooth, NFC, GPS, IP68","Sony SmartWatch 3 SWR50. Internal RAM: 512 MB, Flash memory: 4 GB. Bluetooth version: 4.0. Battery life: 48 h. Weight: 1.59 oz (45 g). Cables included: USB",
30014805,360 x 360 pixels,4 GB,false,250 mAh (Li-Ion),White,"1.2"" 360 x 360 Super AMOLED, 1GHz Dual-Core, NFC, Wi-Fi, Bluetooth, Tizen","Samsung Gear S2. Internal RAM: 512 MB, Flash memory: 4 GB. Bluetooth version: 4.1, Wi-Fi standards: 802.11b, 802.11g, 802.11n. Battery technology: Lithium-Ion (Li-Ion), Battery performance: 250 mAh. Width: 1.67"" (4.23 cm), Depth: 1.96"" (4.98 cm), Thickness: 0.449"" (1.14 cm)",
24235707,,,true,,"Green,Grey,White","Bluetooth, USB","TomTom Golf. Color of product: Green, Grey, White. Battery type: Built-in",
24495842,320 x 320 pixels,4 GB,true,48h,Black,"1.6” Transflective Display (320 x 320), CPU Quad ARM A7 (1.2 Ghz), 512MB RAM, 4GB eMMC, GPS, Bluetooth 4.0, NFC, Micro USB, Microphone, Waterproof IP68","Sony SmartWatch 3 SWR50. Internal RAM: 512 MB, Flash memory: 4 GB. Bluetooth version: 4.0. Battery life: 48h. Weight: 1.59 oz (45g). Cables included: USB",
19763031,320 x 320 pixels,4 GB,false,315 mAh (Li-Ion),"Stainless steel, Black","Galaxy Gear - 1.63"" Super AMOLED 320 x 320, 800 MHz, Bluetooth 4.0, 1.9MP, 315 mAh","Samsung Galaxy Gear. Flash memory: 4 GB. Bluetooth version: 4.0. Battery technology: Lithium-Ion (Li-Ion), Battery performance: 315 mAh. Width: 1.45"" (3.68 cm), Depth: 2.23"" (5.66 cm), Thickness: 0.437"" (1.11 cm)",
26192836,,,false,,Black,"0.68"" OLED, NRF51822 (16 GHz), Bluetooth 4.0 BLE, 50 mA, Black/Blue","Hannspree SW68SD12. Display type: OLED. Dimensions (WxDxH): 10.1 x 1.5 x 0.394"" (257 x 38 x 10 mm), Weight: 3.1 oz (88 g). Color of product: Black, Blue",
27003893,128 x 128 pixels,,false,,Black,"1.28"" LCD, 128 x 128, touchscreen, Gorilla Glass 3, Bluetooth 4.0, accelerometer/heart rate sensor/UV sensor, IP67, 50 g, iOS & Android","ASUS VivoWatch. Display resolution: 128 x 128 pixels, Display type: LCD. Weight: 1.76 oz (50 g). Compatible operating systems: Android 4.3 +, Apple iOS 8.1 +. Color of product: Black. Battery type: Built-in",
26512883,320 x 320 pixels,4 GB,true,48h,Black,"Sensor, GPS, Android 4.3, Wi-fi, Bluetooth 4.0, Water protected, Leather black","Sony Smartwatch 3 SWR50. Internal RAM: 514 MB, Flash memory: 4 GB, Compatible memory cards: MMC. Bluetooth version: 4.0, USB connector type: Micro-USB. Battery performance: 420 mAh, Battery life: 48 h, Standby time (Bluetooth on): 95 h. Width: 1.42"" (3.6 cm), Depth: 0.394"" (1 cm), Thickness: 2.01"" (5.1 cm)",
27290499,144 x 168 pixels,,true,10h,Blue,"Golfer, GPS + GLONASS, 53g",TomTom Golfer. Display resolution: 144 x 168 pixels. Weight: 1.87 oz (53 g). Color of product: Blue. Battery life: 10 h,
29727910,128 x 32 pixels,,true,7 days,Black,"2.5 cm (1"") (128 x 32), Waterproof, Touchscreen","Acer Leap Active. Device type: Wristband, Color of product: Black, Band colour: Black. Activity monitoring: Active minutes, Calories burned, Distance traveled, Hours slept, Quality of sleep, Steps taken. Display diagonal: 1"", Display resolution: 128 x 32 pixels. Wireless technologies: Wireless. Battery life: 7 days",
19611864,144 x 168 pixels,,true,10h,Grey,Runner Waterproof GPS Watch Dark Grey,"TomTom Runner. Display resolution: 144 x 168 pixels, Display size (HxV): 0.86 x 0.98"". Weight: 1.76 oz (50 g). Color of product: Grey. Battery life: 10 h",
21047360,220 x 176 pixels,,true,168h,Black,"1.6"" LCD 220x176, Bluetooth 3.0, NFC, IP57, Micro USB, Silver","Sony SW2 SmartWatch 2. Bluetooth version: 3.0, USB version: 2.0, USB connector type: Micro-USB A. Battery life: 168 h. Cables included: USB",
29634940,,,,,,Sony SWR12,Sony SWR12,
12295890,128 x 128 pixels,,false,72h,Black,"SmartWatch, Android, Bluetooth 3.0 - 10m, Facebook, Twitter, 15.5 g, Black","Sony SmartWatch. Bluetooth version: 3.0. Battery life: 72h, Standby time (Bluetooth off): 336h. Weight: 0.547 oz (15.5g)","Sony SmartWatch. Bluetooth-Version: 3.0. Batterielebensdauer: 72h, Standbyzeit (Bluetooth aus): 336h. Gewicht: 15,5g (0.547 oz)"
29805780,144 x 168 pixels,4 GB,true,,black,"TomTom Spark Cardio + Music, Built-in, Black, 144 x 168 pixels, Water resistant","TomTom Spark Cardio + Music. Colour of product: Black, Protection features: Water resistant, Waterproof up to: 40 m. Display resolution: 144 x 168 pixels. Battery type: Built-in. Weight: 49 g",
19682159,320 x 320 pixels,4 GB,false,315 mAh,green,"Samsung Galaxy Gear, Lithium-Ion (Li-Ion)","Samsung Galaxy Gear. Flash memory: 4 GB. Bluetooth version: 4.0. Battery technology: Lithium-Ion (Li-Ion), Battery capacity: 315 mAh. Width: 3.68 cm, Depth: 5.66 cm, Thickness: 1.11 cm",
