sku,variantId,price,price_type
14121494,1,1511,DEFAULT
13890146,1,490,DEFAULT
13890148,1,2944,DEFAULT
4055703,1,746,DEFAULT
5750021,1,1595,DEFAULT
7976734,1,1940,DEFAULT
29948717,1,1721,DEFAULT
22314974,1,2429,DEFAULT
23381,1,821,DEFAULT
639892,1,1124,DEFAULT
859882,1,2243,DEFAULT
4732638,1,311,DEFAULT
6833424,1,1936,DEFAULT
21037297,1,209,DEFAULT
8171611,1,1323,DEFAULT
21611149,1,843,DEFAULT
4732634,1,836,DEFAULT
108910,1,2229,DEFAULT
3140634,1,583,DEFAULT
14972508,1,2134,DEFAULT
45711,1,2700,DEFAULT
4468,1,1277,DEFAULT
5595,2,2386,DEFAULT
2270456,1,304,DEFAULT
29073,1,431,DEFAULT
639851,1,1333,DEFAULT
14537955,1,63,DEFAULT
29065,1,1765,DEFAULT
1106068,1,929,DEFAULT
8524971,1,1129,DEFAULT
25396284,1,1890,DEFAULT
1105701,1,2440,DEFAULT
14716698,1,1620,DEFAULT
14716699,2,1835,DEFAULT
2254369,1,187,DEFAULT
2254266,1,215,DEFAULT
513856,1,775,DEFAULT
14729468,1,1909,DEFAULT
2125997,1,2645,DEFAULT
4004545,1,1597,DEFAULT
3748125,1,34,DEFAULT
8202072,1,1888,DEFAULT
23332594,1,1908,DEFAULT
7977997,1,1970,DEFAULT
1489908,1,2097,DEFAULT
10974298,1,231,DEFAULT
7027109,1,2813,DEFAULT
30387095,1,2934,DEFAULT
30387094,1,2461,DEFAULT
3539039,1,396,DEFAULT
3612999,1,2068,DEFAULT
7793169,1,2161,DEFAULT
17639078,1,1674,DEFAULT
12816149,1,1455,DEFAULT
22622548,1,2466,DEFAULT
21679467,1,2106,DEFAULT
13560960,1,2788,DEFAULT
1347318,1,2529,DEFAULT
1077137,1,871,DEFAULT
917146,1,717,DEFAULT
2131246,1,659,DEFAULT
10709349,1,2762,DEFAULT
2333820,1,158,DEFAULT
3993611,1,2279,DEFAULT
26065580,1,1597,DEFAULT
1510424,1,346,DEFAULT
1569507,1,2494,DEFAULT
13945602,1,2373,DEFAULT
3590,1,2255,DEFAULT
1105912,1,2139,DEFAULT
14537956,1,970,DEFAULT
2254712,1,2289,DEFAULT
326946,1,1028,DEFAULT
13391282,1,2879,DEFAULT
14765923,1,1259,DEFAULT
917674,1,125,DEFAULT
8863287,1,110,DEFAULT
5748792,1,1072,DEFAULT
13719413,1,60,DEFAULT
12555808,1,2571,DEFAULT
1239166,1,1468,DEFAULT
8194895,1,2129,DEFAULT
8194897,1,1733,DEFAULT
8194908,1,143,DEFAULT
4017276,1,584,DEFAULT
24406541,1,1200,DEFAULT
20768968,1,2249,DEFAULT
18194988,1,372,DEFAULT
14816276,1,730,DEFAULT
21356271,1,121,DEFAULT
20739484,1,1090,DEFAULT
20739483,1,1389,DEFAULT
15759614,1,2883,DEFAULT
15759612,1,1248,DEFAULT
22759595,1,668,DEFAULT
18402830,1,1481,DEFAULT
21356270,1,1594,DEFAULT
10984063,1,163,DEFAULT
10984064,1,854,DEFAULT
8169782,1,849,DEFAULT
10984067,1,2302,DEFAULT
10984068,1,1824,DEFAULT
21052261,1,139,DEFAULT
22759585,1,331,DEFAULT
22759586,1,1703,DEFAULT
20956716,1,1398,DEFAULT
26057953,1,457,DEFAULT
26057952,1,1814,DEFAULT
25880237,1,2470,DEFAULT
25957410,1,517,DEFAULT
12804357,1,1386,DEFAULT
24582697,1,939,DEFAULT
24436599,1,2646,DEFAULT
24436600,1,120,DEFAULT
30340745,1,1083,DEFAULT
24777373,1,231,DEFAULT
24236226,1,1320,DEFAULT
24401696,1,332,DEFAULT
27231711,1,604,DEFAULT
25560816,1,2051,DEFAULT
24219551,1,453,DEFAULT
24781495,1,1694,DEFAULT
27039266,1,440,DEFAULT
9030720,1,337,DEFAULT
9030719,1,2943,DEFAULT
9481912,1,1109,DEFAULT
9030717,1,1818,DEFAULT
26179733,1,1538,DEFAULT
22624931,1,1272,DEFAULT
22624932,1,2672,DEFAULT
26179732,1,2388,DEFAULT
18306356,1,575,DEFAULT
30340744,1,1497,DEFAULT
21976499,1,2527,DEFAULT
22618507,1,906,DEFAULT
27320820,1,201,DEFAULT
21824022,1,925,DEFAULT
18282355,1,1363,DEFAULT
24648749,1,2015,DEFAULT
27107242,1,396,DEFAULT
29899867,1,1880,DEFAULT
29899870,1,402,DEFAULT
24568888,1,1336,DEFAULT
27107243,1,1527,DEFAULT
24385468,1,522,DEFAULT
24761895,1,2419,DEFAULT
27012103,1,1758,DEFAULT
22673659,1,1843,DEFAULT
20969730,1,2752,DEFAULT
19866739,1,2362,DEFAULT
22307429,1,894,DEFAULT
27107245,1,205,DEFAULT
25924498,1,1057,DEFAULT
19567673,1,1335,DEFAULT
29721591,1,542,DEFAULT
20826080,1,1000,DEFAULT
24893003,1,2444,DEFAULT
18282536,1,2361,DEFAULT
23227458,1,2538,DEFAULT
27107246,1,716,DEFAULT
17698758,1,2033,DEFAULT
19204272,1,1926,DEFAULT
19281833,2,1291,DEFAULT
23064975,1,530,DEFAULT
21976540,1,1454,DEFAULT
24566959,1,2197,DEFAULT
25560786,1,731,DEFAULT
25560788,2,2379,DEFAULT
30348642,1,561,DEFAULT
28547728,1,2747,DEFAULT
24563278,1,2776,DEFAULT
22648534,1,2441,DEFAULT
23117133,1,149,DEFAULT
23117134,2,1112,DEFAULT
24243036,3,969,DEFAULT
24243038,4,672,DEFAULT
25063728,1,531,DEFAULT
23117149,1,2728,DEFAULT
23117150,2,2516,DEFAULT
24243037,3,283,DEFAULT
24243039,4,2090,DEFAULT
24243042,5,411,DEFAULT
24243043,6,489,DEFAULT
24243044,7,148,DEFAULT
24243045,8,1746,DEFAULT
24357269,9,1032,DEFAULT
23045975,1,1148,DEFAULT
23045976,2,1190,DEFAULT
23045978,1,393,DEFAULT
24566957,2,687,DEFAULT
25558498,1,1907,DEFAULT
25558499,2,2426,DEFAULT
25558500,3,2614,DEFAULT
23045974,1,198,DEFAULT
23117151,2,2957,DEFAULT
29727439,1,1069,DEFAULT
20768963,1,2396,DEFAULT
29368117,2,689,DEFAULT
29888308,1,448,DEFAULT
25977667,1,2957,DEFAULT
25977668,2,437,DEFAULT
25977669,3,224,DEFAULT
10995521,1,2399,DEFAULT
19673322,1,586,DEFAULT
23139282,1,1336,DEFAULT
29396535,1,369,DEFAULT
28352658,1,1259,DEFAULT
29389815,1,1868,DEFAULT
26440432,1,97,DEFAULT
29646096,1,776,DEFAULT
29726688,1,2152,DEFAULT
20429256,1,2188,DEFAULT
25956255,1,1187,DEFAULT
25956257,2,2641,DEFAULT
24792200,1,2336,DEFAULT
24398885,1,2934,DEFAULT
22592010,1,674,DEFAULT
24337746,2,485,DEFAULT
28548417,1,1125,DEFAULT
29637666,1,1067,DEFAULT
29421958,1,1173,DEFAULT
30140062,1,32,DEFAULT
30140064,1,494,DEFAULT
20971885,1,788,DEFAULT
20971886,1,231,DEFAULT
20971889,1,452,DEFAULT
22629291,1,1857,DEFAULT
22629292,1,2628,DEFAULT
25905980,1,1142,DEFAULT
25905981,2,2305,DEFAULT
25956250,1,2586,DEFAULT
19618488,1,1579,DEFAULT
