slug,variantId,sku,name.en,manufacturer_name,product_id,image_big,image_small,category_id,category_key,xml_url,on_market,on_market_countries_set,icecat_last_updated
1006_panasonic_et-elt02,1,14121494,ET-ELT02,Panasonic,ET-ELT02,http://images.icecat.biz/img/norm/high/14121494-9166.jpg,http://images.icecat.biz/img/norm/low/14121494-9166.jpg,1006,45111615,http://data.icecat.biz/export/freexml/INT/14121494.xml,1,DE;US;BE;HU;AU;GB;IT;DK;SE;AT;NL,2016-02-08T16:56:51.000Z
1006_panasonic_et-elw02,1,13890146,ET-ELW02,Panasonic,ETELW02,http://images.icecat.biz/img/norm/high/13890146-4884.jpg,http://images.icecat.biz/img/norm/low/13890146-4884.jpg,1006,45111615,http://data.icecat.biz/export/freexml/INT/13890146.xml,1,DE;US;GB,2016-02-08T16:52:28.000Z
1006_panasonic_et-elw04,1,13890148,ET-ELW04,Panasonic,ETELW04,http://images.icecat.biz/img/norm/high/13890148-8737.jpg,http://images.icecat.biz/img/norm/low/13890148-8737.jpg,1006,45111615,http://data.icecat.biz/export/freexml/INT/13890148.xml,1,DE;US,2016-02-08T16:52:29.000Z
1006_sony_vpllfm22,1,4055703,VPLLFM22,Sony,VPLLFM22,http://images.icecat.biz/img/norm/high/4055703-2917.jpg,http://images.icecat.biz/img/norm/low/4055703-2917.jpg,1006,45111615,http://data.icecat.biz/export/freexml/INT/4055703.xml,1,DE;US;ES,2014-08-05T18:10:00.000Z
1006_sony_vpllzm42,1,5750021,VPLLZM42,Sony,VPLL-ZM42,http://images.icecat.biz/img/norm/high/5750021-9622.jpg,http://images.icecat.biz/img/norm/low/5750021-9622.jpg,1006,45111615,http://data.icecat.biz/export/freexml/INT/5750021.xml,1,DE;US;IT;CH;PT;FI;GB;BE;DK;IE;NO;AT;SE;NL;ES;FR;AF,2015-12-23T05:47:59.000Z
1007_hp_536605-001,1,7976734,536605-001,HP,536605-001,http://images.icecat.biz/img/norm/high/7976734-9542.jpg,http://images.icecat.biz/img/norm/low/7976734-9542.jpg,1007,31162313,http://data.icecat.biz/export/freexml/INT/7976734.xml,1,DE;US;GB;BE;NL;NZ,2014-01-08T16:41:34.000Z
1007_hp_600705800-g2-sff,1,29948717,600/705/800 G2 SFF,HP,N7H10AA,http://images.icecat.biz/img/gallery/29948717_4054.jpg,http://images.icecat.biz/img/gallery_lows/29948717_4054.jpg,1007,31162313,http://data.icecat.biz/export/freexml/INT/29948717.xml,1,DE;US;CH;SE;NO;HU;DK;NL,2016-01-21T14:28:12.000Z
1007_hp_vesa-mount-bracket-t310-zero-client,1,22314974,VESA Mount Bracket t310 Zero Client,HP,F7X24AA,http://images.icecat.biz/img/norm/high/22314974-6612.jpg,http://images.icecat.biz/img/norm/low/22314974-6612.jpg,1007,31162313,http://data.icecat.biz/export/freexml/INT/22314974.xml,1,DE;US;BE;CH;NL;FI;NO;IT;AF;AT;SE;DK;AU;FR;GB,2015-12-23T12:57:45.000Z
1007_ibm_5ux24d-tower-to-rack-kit-ii,1,23381,5Ux24D tower-to-rack kit II,IBM,59P4211,http://images.icecat.biz/img/norm/high/23381-9497.jpg,http://images.icecat.biz/img/norm/low/23381-9497.jpg,1007,31162313,http://data.icecat.biz/export/freexml/INT/23381.xml,1,DE;US;GB,2015-09-12T11:19:11.000Z
1007_intel_server-chassis-sr2500-unique-optional-accessories-spares-asr2500sas1,1,639892,Server Chassis SR2500 Unique Optional Accessories & Spares ASR2500SAS1,Intel,ASR2500SAS1,http://images.icecat.biz/img/norm/high/639892-9522.jpg,http://images.icecat.biz/img/norm/low/639892-9522.jpg,1007,31162313,http://data.icecat.biz/export/freexml/INT/639892.xml,1,DE;US,2014-01-15T04:45:34.000Z
1007_intel_sr1530-black-bezel,1,859882,SR1530 Black Bezel,Intel,AHJBEZBLACK,http://images.icecat.biz/img/norm/high/859882-1948.jpg,,1007,31162313,http://data.icecat.biz/export/freexml/INT/859882.xml,1,DE;US;SE;NL;FI;DK;BE;GB;NO;FR;IT,2014-09-03T19:41:29.000Z
