"sku";"quantity";"is_never_out_of_stock";"stock_type"
64286050;46;0;"Warehouse1"
64287320;1;0;"Warehouse1"
58188594;67;0;"Warehouse1"
57971946;33;0;"Warehouse1"
57971928;64;0;"Warehouse1"
57971836;21;0;"Warehouse1"
57971798;12;0;"Warehouse1"
55146231;96;0;"Warehouse1"
55146226;44;0;"Warehouse1"
57971128;31;0;"Warehouse1"
57971482;22;0;"Warehouse1"
57971351;20;0;"Warehouse1"
57970693;34;0;"Warehouse1"
58076697;8;0;"Warehouse1"
57970428;39;0;"Warehouse1"
57970290;70;0;"Warehouse1"
57970769;33;0;"Warehouse1"
57970819;57;0;"Warehouse1"
57970905;86;0;"Warehouse1"
60000;57;0;"Warehouse1"
60010;30;0;"Warehouse1"
70000;76;0;"Warehouse1"
60004;92;0;"Warehouse1"
60006;32;0;"Warehouse1"
70001;82;0;"Warehouse1"
70002;13;0;"Warehouse1"
70004;21;0;"Warehouse1"
57969750;64;0;"Warehouse1"
57969773;58;0;"Warehouse1"
57969863;99;0;"Warehouse1"
57969900;22;0;"Warehouse1"
59227121;12;0;"Warehouse1"
59226998;96;0;"Warehouse1"
600011;43;0;"Warehouse1"
60012;25;0;"Warehouse1"
59227053;97;0;"Warehouse1"
59937927;11;0;"Warehouse1"
64270893;65;0;"Warehouse1"
118377173;89;0;"Warehouse1"
118377179;50;0;"Warehouse1"
118810595;85;0;"Warehouse1"
118810476;76;0;"Warehouse1"
57971871;23;0;"Warehouse1"
59241391;89;0;"Warehouse1"
57969982;75;0;"Warehouse1"
59241395;7;0;"Warehouse1"
118749648;9;0;"Warehouse1"
118749708;24;0;"Warehouse1"
118749730;94;0;"Warehouse1"
"Gutschein";96;0;"Warehouse1"
119369207;98;0;"Warehouse1"
119369208;4;0;"Warehouse1"
119369209;23;0;"Warehouse1"
119448663;5;0;"Warehouse1"
57972944;57;0;"Warehouse1"
119448928;69;0;"Warehouse1"
118810594;72;0;"Warehouse1"
118810592;55;0;"Warehouse1"
119448744;60;0;"Warehouse1"
119449106;33;0;"Warehouse1"
119449139;86;0;"Warehouse1"
119449214;32;0;"Warehouse1"
119602189;2;0;"Warehouse1"
119602188;14;0;"Warehouse1"
59226992;63;0;"Warehouse1"
119548993;75;0;"Warehouse1"
119548999;83;0;"Warehouse1"
118810478;92;0;"Warehouse1"
119562823;9;0;"Warehouse1"
120071485;69;0;"Warehouse1"
120071488;17;0;"Warehouse1"
55146270;78;0;"Warehouse1"
11954913837;42;0;"Warehouse1"
11954913839;73;0;"Warehouse1"
70005;39;0;"Warehouse1"
70006;77;0;"Warehouse1"
80004;69;0;"Warehouse1"
80000;14;0;"Warehouse1"
122553302;61;0;"Warehouse1"
