"is_root";"name";"parent_name";"image_name";"category_key"
"1";"Root";"NULL";"NULL";"1"
"0";"Hunde";"Root";"alles-fuer-den-hund-und-die-katz.png";"2"
"0";"Basisnahrung";"Hunde";"Header_Basisnahrung_neu_2015.jpg";"3"
"0";"Snacks";"Hunde";"HeaderSnacksneuohnebio.jpg";"4"
"0";"Trockenfleisch";"Hunde";"HeaderTrockenfleischneu2015.jpg";"5"
"0";"Supplements";"Hunde";"Header_Supplements_neu_2015.jpg";"6"
"0";"Katzen";"Root";"alles-fuer-den-hund-und-die-katz_1.png";"7"
"0";"Basisnahrung";"Katzen";"Header_Basisnahrung_neu_2015_1.jpg";"8"
"0";"Snacks";"Katzen";"HeaderSnacksneuohnebio_1.jpg";"9"
"0";"Trockenfleisch";"Katzen";"HeaderTrockenfleischneu2015_1.jpg";"10"
"0";"Supplements";"Katzen";"Header_Supplements_neu_2015_1.jpg";"11"
"0";"Fisch & Fleisch";"Basisnahrung";"NULL";"12"
"0";"Obst & Gemüse";"Basisnahrung";"NULL";"13"
"0";"Kohlenhydrate";"Basisnahrung";"NULL";"14"
"0";"Supplements";"Basisnahrung";"NULL";"15"
"0";"Angebote";"Root";"NULL";"16"
"0";"Beratung";"Root";"NULL";"17"
"0";"So funktioniert's";"Beratung";"NULL";"18"
"0";"Kontakt";"Root";"NULL";"19"
"0";"Promotionen";"Beratung";"NULL";"20"
"0";"Futtermixer";"Hunde";"Header_Futtermixer_neu_2015.jpg";"21"
"0";"Futtermixer";"Katzen";"Header_Futtermixer_neu_2015_1.jpg";"22"
"0";"Über uns";"Beratung";"NULL";"23"
"0";"FAQ";"Beratung";"NULL";"24"
