"sku";"price";"price_type";"is_active"
64286050;6000.0000;"DEFAULT";1
64287320;12000.0000;"DEFAULT";1
58188594;2000.0000;"DEFAULT";1
57971946;500.0000;"DEFAULT";1
57971928;500.0000;"DEFAULT";1
57971836;600.0000;"DEFAULT";1
57971798;500.0000;"DEFAULT";1
55146231;900.0000;"DEFAULT";1
55146226;700.0000;"DEFAULT";1
57971128;350.0000;"DEFAULT";1
57971482;350.0000;"DEFAULT";1
57971351;350.0000;"DEFAULT";1
57970693;400.0000;"DEFAULT";1
58076697;400.0000;"DEFAULT";1
57970428;400.0000;"DEFAULT";1
57970290;400.0000;"DEFAULT";1
57970769;400.0000;"DEFAULT";1
57970819;400.0000;"DEFAULT";1
57970905;400.0000;"DEFAULT";1
60000;200.0000;"DEFAULT";1
60010;200.0000;"DEFAULT";1
70000;150.0000;"DEFAULT";1
60004;200.0000;"DEFAULT";1
60006;200.0000;"DEFAULT";1
70001;150.0000;"DEFAULT";1
70002;150.0000;"DEFAULT";1
70004;150.0000;"DEFAULT";1
57969750;400.0000;"DEFAULT";1
57969773;400.0000;"DEFAULT";1
57969863;400.0000;"DEFAULT";1
57969900;400.0000;"DEFAULT";1
59227121;600.0000;"DEFAULT";1
59226998;400.0000;"DEFAULT";1
600011;200.0000;"DEFAULT";1
60012;200.0000;"DEFAULT";1
59227053;400.0000;"DEFAULT";1
59937927;1500.0000;"DEFAULT";1
64270893;4500.0000;"DEFAULT";1
118377173;500.0000;"DEFAULT";1
118377179;600.0000;"DEFAULT";1
118810595;500.0000;"DEFAULT";1
118810476;600.0000;"DEFAULT";1
57971871;600.0000;"DEFAULT";1
59241391;400.0000;"DEFAULT";1
57969982;400.0000;"DEFAULT";1
59241395;400.0000;"DEFAULT";1
118749648;790.0000;"DEFAULT";1
118749708;990.0000;"DEFAULT";1
118749730;1290.0000;"DEFAULT";1
"Gutschein";2500.0000;"DEFAULT";1
119369207;890.0000;"DEFAULT";1
119369208;1290.0000;"DEFAULT";1
119369209;1690.0000;"DEFAULT";1
119448663;400.0000;"DEFAULT";1
57972944;400.0000;"DEFAULT";1
119448928;400.0000;"DEFAULT";1
118810594;500.0000;"DEFAULT";1
118810592;500.0000;"DEFAULT";1
119448744;400.0000;"DEFAULT";1
119449106;400.0000;"DEFAULT";1
119449139;400.0000;"DEFAULT";1
119449214;600.0000;"DEFAULT";1
119602189;1490.0000;"DEFAULT";1
119602188;1490.0000;"DEFAULT";1
59226992;450.0000;"DEFAULT";1
119548993;400.0000;"DEFAULT";1
119548999;400.0000;"DEFAULT";1
118810478;600.0000;"DEFAULT";1
119562823;600.0000;"DEFAULT";1
120071485;8540.0000;"DEFAULT";1
120071488;6890.0000;"DEFAULT";1
55146270;400.0000;"DEFAULT";1
11954913837;400.0000;"DEFAULT";1
11954913839;400.0000;"DEFAULT";1
70005;150.0000;"DEFAULT";1
70006;150.0000;"DEFAULT";1
80004;200.0000;"DEFAULT";1
80000;200.0000;"DEFAULT";1
122553302;1490.0000;"DEFAULT";1
