slug,variant_id,sku,display,storage,waterproof,battery,color,weight,short_description.en_US,long_description.en_US,short_description.de_DE,long_description.de_DE
151_acer_731-4699,1,21416382,,,,,,,,,,
151_acer_c720p-2625,1,20849175,,,,,,,,,,
151_acer_e5-573t-5935,1,29545166,,,,,,,,,,
151_acer_p246-m-52x2,1,24401697,,,,,,,,,,
151_asus_t200ta-cp021p,1,25905066,,,,,,,,,,
151_asus_t300chi-fl040p,1,27123315,,,,,,,,,,
151_asus_ux305fa-asm1,1,26231597,,,,,,,,,,
151_dell_13,1,29885472,,,,,,,,,,
151_dell_3450,1,25558467,,,,,,,,,,
151_dell_7359,1,29900747,,,,,,,,,,
151_fujitsu_u745,1,29853938,,,,,,,,,,
151_hp_1012-g1,1,30375360,,,,,,,,,,
151_hp_11-g4,1,28548759,,,,,,,,,,
151_hp_250-g4,1,28463875,,,,,,,,,,
151_hp_255-g4,1,29406168,,,,,,,,,,
151_hp_g3,1,29750512,,,,,,,,,,
151_lenovo_b70-80,1,27104941,,,,,,,,,,
151_lenovo_g50-80,1,29376694,,,,,,,,,,
151_lenovo_n21,1,26058615,,,,,,,,,,
151_lenovo_yoga-2-13,1,28467014,,,,,,,,,,
151_lenovo_yoga-500-15,1,29755564,,,,,,,,,,
151_toshiba_c55dt-b5153,1,26512671,,,,,,,,,,
151_toshiba_c70-c-1fv,1,30783507,,,,,,,,,,
151_toshiba_c75d-c7232,1,27277017,,,,,,,,,,
151_toshiba_z30-c-10n,1,30579515,,,,,,,,,,
153_acer_m2610,1,26427900,,,,,,,,,,
153_acer_m6640g,1,29885591,,,,,,,,,,
153_asus_m32ad-be009t,1,29911080,,,,,,,,,,
153_dell_3020,1,24403939,,,,,,,,,,
153_dell_9020,1,27128227,,,,,,,,,,
153_fujitsu_e420,1,29804739,,,,,,,,,,
153_fujitsu_e920,1,29804808,,,,,,,,,,
153_fujitsu_m740,1,29374842,,,,,,,,,,
153_fujitsu_p420,1,29804957,,,,,,,,,,
153_fujitsu_r940,1,29374843,,,,,,,,,,
153_hp_230-twr,1,25885453,,,,,,,,,,
153_hp_280-g1,1,29406823,,,,,,,,,,
153_hp_400-g25-sff,1,28552654,,,,,,,,,,
153_hp_400-g3-mt,1,29891383,,,,,,,,,,
153_hp_440-mt,1,24801337,,,,,,,,,,
153_hp_600-g1-sff,1,23061675,,,,,,,,,,
153_hp_600-g2-mt,1,29891842,,,,,,,,,,
153_hp_620,1,13710816,,,,,,,,,,
153_hp_800-g1,1,24673744,,,,,,,,,,
153_hp_p1g46ea,1,29891041,,,,,,,,,,
153_lenovo_e73,1,29529631,,,,,,,,,,
153_lenovo_e73,2,29761404,,,,,,,,,,
153_lenovo_m73,1,27107296,,,,,,,,,,
153_lenovo_p300-tower,1,23087059,,,,,,,,,,
153_lenovo_p310,1,30648859,,,,,,,,,,
153_lenovo_p900,1,24788120,,,,,,,,,,
1630_asus_vivowatch,1,27003893,,,,,,,,,,
1630_asus_vivowatch,2,27207215,,,,,,,,,,
1630_hannspree_sw68sd12,1,26192836,,,,,,,,,,
1630_tomtom_golf,1,24235707,,,,,,,,,,
1630_tomtom_golfer,1,27290499,,,,,,,,,,
1630_tomtom_multi-sport-cardio,1,22196533,,,,,,,,,,
1630_tomtom_runner,1,19611864,,,,,,,,,,
1630_tomtom_spark-cardio-music,1,29805780,,,,,,,,,,
